Наименование,SKU,Бренд,Категория,Цена,Характеристики (длина),Изображения (количество)
Завеса воздушная Ballu BHC-U15A-PS,BHC-U15A-PS,Ballu,Тепловое оборудование > Воздушные и тепловые завесы > Промышленные,99990.0,1345,8
Очаг электрический Royal Thermo RTFP/P500MR 3D Cassette Mystery Round,RTFP-P500MR,Royal Thermo,Тепловое оборудование > Электрические камины > Электрические паровые очаги,99990.0,1833,8
Обогреватель инфракрасный Ballu BIH-LC-2.0,BIH-LC-2.0,Ballu,Тепловое оборудование > Инфракрасные обогреватели > Электрические инфракрасные обогреватели,9990.0,1385,8
Сушилка для рук электрическая Royal Thermo RTHD-1100 White,RTHD-1100 White,Royal Thermo,Тепловое оборудование > Сушилки для рук,9990.0,1131,8
Сушилка для рук электрическая Royal Thermo RTHD-1100 Black,RTHD-1100 Black,Royal Thermo,Тепловое оборудование > Сушилки для рук,9990.0,1132,8
Обогреватель инфракрасный газовый Ballu BIGH-55 Белый кремовый,BIGH-55,Ballu,Тепловое оборудование > Инфракрасные обогреватели > Газовые инфракрасные обогреватели,9990.0,1556,5
Комплект обогреватель инфракрасный Ballu BIH-GSW-1.0 + Терморегулятор BMT-1,BIH-GSW-1.0 + BMT-1,Ballu,Тепловое оборудование > Инфракрасные обогреватели > Электрические инфракрасные обогреватели,9990.0,1317,8
Обогреватель инфракрасный Ballu BIH-LL-1.5-SE,BIH-LL-1.5-SE,Ballu,Тепловое оборудование > Инфракрасные обогреватели > Электрические инфракрасные обогреватели,9990.0,1131,6
Инфракрасный обогреватель BALLU BIH-T-3.0,BIH-T-3.0,Ballu,Тепловое оборудование > Инфракрасные обогреватели > Электрические инфракрасные обогреватели,9990.0,1577,5
Обогреватель инфракрасный Ballu BIH-GSW-1.0,BIH-GSW-1.0,Ballu,Тепловое оборудование > Инфракрасные обогреватели > Электрические инфракрасные обогреватели,9990.0,1675,8
